query,arm,from_N,to_N,role,winner_before,winner_after,correct_before,correct_after
P018,R_E0,32,45,native_text_extension,4,4,True,True
P032,R_E0,32,45,native_text_extension,5,5,True,True
P050,R_E0,32,45,native_text_extension,6,6,True,True
P037,R_E0,32,45,native_text_extension,7,7,True,True
P094,R_E0,32,45,native_text_extension,8,8,True,True
P091,R_E0,32,45,native_text_extension,9,9,True,True
P109,R_E0,32,45,native_text_extension,10,10,True,True
P011,R_E0,32,45,native_text_extension,11,11,True,True
P087,R_E2,11,19,native,1,1,True,True
P078,R_E2,11,19,native,2,2,True,True
P064,R_E2,11,19,native,3,3,True,True
P047,R_E2,11,19,native,4,4,True,True
P105,R_E2,11,19,native,5,5,True,True
P117,R_E2,11,19,native,6,6,True,True
P074,R_E2,11,19,native,7,7,True,True
P082,R_E2,11,19,native,8,8,True,True
P110,R_E2,11,19,native,9,9,True,True
P100,R_E2,11,19,native,10,10,True,True
P062,R_E2,11,19,native,11,11,True,True
P052,R_E2,11,19,H_eval,11,13,True,True
P099,R_E2,11,19,H_eval,8,17,False,False
P093,R_E2,11,19,U_eval,11,11,False,False
P013,R_E2,11,19,U_eval,11,11,True,True
P103,R_E2,11,19,U_eval,2,2,False,False
P025,R_E2,11,19,U_eval,2,2,False,False
P072,R_E2,11,19,U_eval,11,13,True,True
P070,R_E2,11,19,U_eval,11,13,True,True
P003,R_E2,11,19,U_eval,11,13,False,False
P046,R_E2,11,19,U_eval,11,13,True,True
P016,R_E2,11,19,U_eval,8,17,True,True
P113,R_E2,11,19,H_eval,11,13,True,True
P036,R_E2,11,19,H_eval,8,17,True,False
P098,R_E2,11,19,H_eval,11,13,False,True
P075,R_E2,11,19,H_eval,8,17,True,True
P073,R_E2,11,19,native_text_extension,1,1,True,True
P017,R_E2,11,19,native_text_extension,2,2,True,True
P040,R_E2,11,19,native_text_extension,3,3,True,True
P018,R_E2,11,19,native_text_extension,4,4,True,True
P032,R_E2,11,19,native_text_extension,5,5,True,True
P050,R_E2,11,19,native_text_extension,6,6,True,True
P037,R_E2,11,19,native_text_extension,7,7,True,True
P094,R_E2,11,19,native_text_extension,8,8,False,False
P091,R_E2,11,19,native_text_extension,9,9,True,True
P109,R_E2,11,19,native_text_extension,10,10,True,True
P011,R_E2,11,19,native_text_extension,11,11,True,True
P087,R_E2,19,32,native,1,1,True,True
P078,R_E2,19,32,native,2,2,True,True
P064,R_E2,19,32,native,3,3,True,True
P047,R_E2,19,32,native,4,4,True,True
P105,R_E2,19,32,native,5,5,True,True
P117,R_E2,19,32,native,6,6,True,True
P074,R_E2,19,32,native,7,7,True,True
P082,R_E2,19,32,native,8,8,True,True
P110,R_E2,19,32,native,9,9,True,True
P100,R_E2,19,32,native,10,10,True,True
P062,R_E2,19,32,native,11,11,True,True
P053,R_E2,19,32,native,12,12,True,True
P023,R_E2,19,32,native,13,13,True,True
P043,R_E2,19,32,native,14,14,True,True
P090,R_E2,19,32,native,15,15,True,True
P066,R_E2,19,32,native,16,16,True,True
P067,R_E2,19,32,native,17,17,True,True
P111,R_E2,19,32,native,18,18,True,True
P057,R_E2,19,32,native,19,19,True,True
P052,R_E2,19,32,H_eval,13,13,True,True
P099,R_E2,19,32,H_eval,17,17,False,False
P093,R_E2,19,32,U_eval,11,20,False,False
P013,R_E2,19,32,U_eval,11,20,True,False
P103,R_E2,19,32,U_eval,2,24,False,False
P025,R_E2,19,32,U_eval,2,24,False,False
P072,R_E2,19,32,U_eval,13,13,True,True
P070,R_E2,19,32,U_eval,13,13,True,True
P003,R_E2,19,32,U_eval,13,13,False,False
P046,R_E2,19,32,U_eval,13,13,True,True
P016,R_E2,19,32,U_eval,17,17,True,True
P113,R_E2,19,32,H_eval,13,13,True,True
P036,R_E2,19,32,H_eval,17,17,False,False
P098,R_E2,19,32,H_eval,13,13,True,True
P075,R_E2,19,32,H_eval,17,17,True,True
P073,R_E2,19,32,native_text_extension,1,1,True,True
P017,R_E2,19,32,native_text_extension,2,2,True,True
P040,R_E2,19,32,native_text_extension,3,3,True,True
P018,R_E2,19,32,native_text_extension,4,4,True,True
P032,R_E2,19,32,native_text_extension,5,5,True,True
P050,R_E2,19,32,native_text_extension,6,6,True,True
P037,R_E2,19,32,native_text_extension,7,7,True,True
P094,R_E2,19,32,native_text_extension,8,8,False,False
P091,R_E2,19,32,native_text_extension,9,9,True,True
P109,R_E2,19,32,native_text_extension,10,10,True,True
P011,R_E2,19,32,native_text_extension,11,11,True,True
P087,R_E2,32,45,native,1,1,True,True
P078,R_E2,32,45,native,2,2,True,True
P064,R_E2,32,45,native,3,3,True,True
P047,R_E2,32,45,native,4,4,True,True
P105,R_E2,32,45,native,5,5,True,True
P117,R_E2,32,45,native,6,6,True,True
P074,R_E2,32,45,native,7,7,True,True
P082,R_E2,32,45,native,8,8,True,True
P110,R_E2,32,45,native,9,9,True,True
P100,R_E2,32,45,native,10,10,True,True
P062,R_E2,32,45,native,11,11,True,True
P053,R_E2,32,45,native,12,12,True,True
P023,R_E2,32,45,native,13,13,True,True
P043,R_E2,32,45,native,14,14,True,True
P090,R_E2,32,45,native,15,15,True,True
P066,R_E2,32,45,native,16,16,True,True
P067,R_E2,32,45,native,17,17,True,True
P111,R_E2,32,45,native,18,18,True,True
P057,R_E2,32,45,native,19,19,True,True
P096,R_E2,32,45,native,20,20,True,True
P044,R_E2,32,45,native,21,21,True,True
P118,R_E2,32,45,native,22,22,True,True
P088,R_E2,32,45,native,23,23,True,True
P026,R_E2,32,45,native,24,24,True,True
P048,R_E2,32,45,native,25,25,True,True
P106,R_E2,32,45,native,26,26,True,True
P092,R_E2,32,45,native,27,27,True,True
P114,R_E2,32,45,native,28,28,True,True
P104,R_E2,32,45,native,29,29,True,True
P008,R_E2,32,45,native,30,30,True,True
P005,R_E2,32,45,native,31,31,True,True
P019,R_E2,32,45,native,32,32,True,True
P052,R_E2,32,45,H_eval,13,13,True,True
P099,R_E2,32,45,H_eval,17,17,False,False
P093,R_E2,32,45,U_eval,20,20,False,False
P013,R_E2,32,45,U_eval,20,20,False,False
P103,R_E2,32,45,U_eval,24,24,False,False
P025,R_E2,32,45,U_eval,24,24,False,False
P072,R_E2,32,45,U_eval,13,13,True,True
P070,R_E2,32,45,U_eval,13,13,True,True
P003,R_E2,32,45,U_eval,13,13,False,False
P046,R_E2,32,45,U_eval,13,13,True,True
P016,R_E2,32,45,U_eval,17,17,True,True
P113,R_E2,32,45,H_eval,13,13,True,True
P036,R_E2,32,45,H_eval,17,17,False,False
P098,R_E2,32,45,H_eval,13,13,True,True
P075,R_E2,32,45,H_eval,17,17,True,True
P073,R_E2,32,45,native_text_extension,1,1,True,True
P017,R_E2,32,45,native_text_extension,2,2,True,True
P040,R_E2,32,45,native_text_extension,3,3,True,True
P018,R_E2,32,45,native_text_extension,4,4,True,True
P032,R_E2,32,45,native_text_extension,5,5,True,True
P050,R_E2,32,45,native_text_extension,6,6,True,True
P037,R_E2,32,45,native_text_extension,7,7,True,True
P094,R_E2,32,45,native_text_extension,8,8,False,False
P091,R_E2,32,45,native_text_extension,9,9,True,True
P109,R_E2,32,45,native_text_extension,10,10,True,True
P011,R_E2,32,45,native_text_extension,11,11,True,True
