candidate,control,mode,metric,score,paired_edits,delta,ci_low,ci_high,status
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,I_Locality,literal,67,0.1044776119402985,0.029850746268656716,0.1791044776119403,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,I_Locality,target_or_source_semantic,67,0.11940298507462686,0.04477611940298507,0.208955223880597,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,I_Locality,literal,67,0.05970149253731343,0.014925373134328358,0.11940298507462686,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,I_Locality,target_or_source_semantic,67,0.029850746268656716,0.0,0.07462686567164178,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,I_Locality,literal,67,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,I_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,I_Locality,target_or_source_semantic,67,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,I_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Portability,literal,73,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Portability,target_or_source_semantic,73,-0.00684931506849315,-0.06164383561643835,0.0410958904109589,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Portability,literal,73,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Portability,target_or_source_semantic,73,-0.00684931506849315,-0.06164383561643835,0.0410958904109589,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Portability,literal,73,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Portability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Portability,target_or_source_semantic,73,-0.00684931506849315,-0.06164383561643835,0.0410958904109589,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Portability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Reliability,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Reliability,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Reliability,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Reliability,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Reliability,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Reliability,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Reliability,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Reliability,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Robustness,literal,127,0.0,-0.023622047244094488,0.023622047244094488,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,Robustness,target_or_source_semantic,127,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Robustness,literal,127,0.0,-0.023622047244094488,0.023622047244094488,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,Robustness,target_or_source_semantic,127,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Robustness,literal,127,0.0,-0.023622047244094488,0.023622047244094488,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Robustness,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,Robustness,target_or_source_semantic,127,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,Robustness,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,T_Generality,literal,200,-0.005,-0.03,0.02,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,T_Generality,target_or_source_semantic,200,0.005,0.0,0.015,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,T_Generality,literal,200,-0.005,-0.03,0.02,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,T_Generality,target_or_source_semantic,200,0.005,0.0,0.015,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,T_Generality,literal,200,-0.005,-0.03,0.02,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,T_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,T_Generality,target_or_source_semantic,200,0.005,0.0,0.015,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,T_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,T_Locality,literal,200,0.03,0.01,0.055,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,T_Locality,target_or_source_semantic,200,0.06,0.025,0.1,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,T_Locality,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,T_Locality,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,T_Locality,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,T_Locality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,T_Locality,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,T_Locality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,U_fit_diagnostic,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,U_fit_diagnostic,target_or_source_semantic,200,0.995,0.985,1.0,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,U_fit_diagnostic,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,U_fit_diagnostic,target_or_source_semantic,200,0.355,0.29,0.42,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,U_fit_diagnostic,literal,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,U_fit_diagnostic,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,U_fit_diagnostic,target_or_source_semantic,200,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,U_fit_diagnostic,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
