arm,N,panel,metric,numerator,denominator,scored,value,coverage,unit,Wilson95,source_macro,source_count,leave_one_source_out
FACT_FIXED_L31_DOWN,19,native,accuracy,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
FACT_FIXED_L31_DOWN,19,native,Fix,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
FACT_FIXED_L31_DOWN,19,insertion,accuracy,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
FACT_FIXED_L31_DOWN,19,old_H_eval,accuracy,3,6,6,0.5,1.0,QA,"[0.1876163064826506, 0.8123836935173494]",0.5,2,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,19,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
FACT_FIXED_L31_DOWN,19,old_H_eval,Fix,2,2,2,1.0,1.0,QA,"[0.34238022750665303, 1]",1,2,"[1, 1]"
FACT_FIXED_L31_DOWN,19,old_U_eval,accuracy,5,9,9,0.5555555555555556,1.0,QA,"[0.26665129349549305, 0.8112214789023355]",0.5625,4,"[0.4166666666666667, 0.75]"
FACT_FIXED_L31_DOWN,19,old_U_eval,fixed_panel_Retention,5,8,8,0.625,1.0,QA,"[0.30574239460262737, 0.8631557141764026]",0.5833333333333334,4,"[0.4444444444444444, 0.7777777777777778]"
FACT_FIXED_L31_DOWN,19,old_U_eval,Retention,5,8,8,0.625,1.0,QA,"[0.30574239460262737, 0.8631557141764026]",0.5833333333333334,4,"[0.4444444444444444, 0.7777777777777778]"
FACT_FIXED_L31_DOWN,19,old_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,19,new_H_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_H_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_H_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_U_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_U_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,new_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,19,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
FACT_FIXED_L31_DOWN,19,activation_diagnostic,accuracy,38,45,45,0.8444444444444444,1.0,QA,"[0.7121609112760374, 0.9225457651524174]",0.9339285714285714,20,"[0.9304511278195489, 0.9699248120300752]"
FACT_FIXED_L31_DOWN,32,native,accuracy,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
FACT_FIXED_L31_DOWN,32,native,Fix,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
FACT_FIXED_L31_DOWN,32,insertion,accuracy,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
FACT_FIXED_L31_DOWN,32,old_H_eval,accuracy,3,6,6,0.5,1.0,QA,"[0.1876163064826506, 0.8123836935173494]",0.5,2,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,32,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
FACT_FIXED_L31_DOWN,32,old_H_eval,Fix,2,2,2,1.0,1.0,QA,"[0.34238022750665303, 1]",1,2,"[1, 1]"
FACT_FIXED_L31_DOWN,32,old_U_eval,accuracy,1,9,9,0.1111111111111111,1.0,QA,"[0.019890887638544907, 0.434999705576656]",0.0625,4,"[0, 0.08333333333333333]"
FACT_FIXED_L31_DOWN,32,old_U_eval,fixed_panel_Retention,1,8,8,0.125,1.0,QA,"[0.02241749145005667, 0.4708881822128535]",0.08333333333333333,4,"[0, 0.1111111111111111]"
FACT_FIXED_L31_DOWN,32,old_U_eval,Retention,1,7,7,0.14285714285714285,1.0,QA,"[0.02567962434474355, 0.5131278292743189]",0.125,4,"[0, 0.16666666666666666]"
FACT_FIXED_L31_DOWN,32,old_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,32,new_H_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_H_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_H_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_U_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_U_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,new_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,32,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
FACT_FIXED_L31_DOWN,32,activation_diagnostic,accuracy,47,58,58,0.8103448275862069,1.0,QA,"[0.6914762612950077, 0.8906574833887974]",0.8813775510204082,28,"[0.876984126984127, 0.9140211640211641]"
FACT_FIXED_L31_DOWN,45,native,accuracy,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
FACT_FIXED_L31_DOWN,45,native,Fix,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
FACT_FIXED_L31_DOWN,45,insertion,accuracy,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
FACT_FIXED_L31_DOWN,45,old_H_eval,accuracy,3,6,6,0.5,1.0,QA,"[0.1876163064826506, 0.8123836935173494]",0.5,2,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,45,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
FACT_FIXED_L31_DOWN,45,old_H_eval,Fix,2,2,2,1.0,1.0,QA,"[0.34238022750665303, 1]",1,2,"[1, 1]"
FACT_FIXED_L31_DOWN,45,old_U_eval,accuracy,1,9,9,0.1111111111111111,1.0,QA,"[0.019890887638544907, 0.434999705576656]",0.0625,4,"[0, 0.08333333333333333]"
FACT_FIXED_L31_DOWN,45,old_U_eval,fixed_panel_Retention,1,8,8,0.125,1.0,QA,"[0.02241749145005667, 0.4708881822128535]",0.08333333333333333,4,"[0, 0.1111111111111111]"
FACT_FIXED_L31_DOWN,45,old_U_eval,Retention,1,7,7,0.14285714285714285,1.0,QA,"[0.02567962434474355, 0.5131278292743189]",0.125,4,"[0, 0.16666666666666666]"
FACT_FIXED_L31_DOWN,45,old_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,45,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,45,new_H_eval,accuracy,10,24,24,0.4166666666666667,1.0,QA,"[0.24467602609811764, 0.6116533413477124]",0.41666666666666663,8,"[0.38095238095238093, 0.47619047619047616]"
FACT_FIXED_L31_DOWN,45,new_H_eval,Retention,7,18,18,0.3888888888888889,1.0,QA,"[0.2030524657216362, 0.613809583977621]",0.35416666666666663,8,"[0.30952380952380953, 0.40476190476190477]"
FACT_FIXED_L31_DOWN,45,new_H_eval,Fix,3,6,6,0.5,1.0,QA,"[0.1876163064826506, 0.8123836935173494]",0.4,5,"[0.25, 0.5]"
FACT_FIXED_L31_DOWN,45,new_U_eval,accuracy,0,14,14,0.0,1.0,QA,"[1.3877787807814457e-17, 0.2153108027376358]",0,8,"[0, 0]"
FACT_FIXED_L31_DOWN,45,new_U_eval,fixed_panel_Retention,0,13,13,0.0,1.0,QA,"[0, 0.22809537235419838]",0,8,"[0, 0]"
FACT_FIXED_L31_DOWN,45,new_U_eval,Retention,0,8,8,0.0,1.0,QA,"[0, 0.32440756488388023]",0,8,"[0, 0]"
FACT_FIXED_L31_DOWN,45,new_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,45,positive_positive_image,accuracy,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.16666666666666666,2,"[0, 0.3333333333333333]"
FACT_FIXED_L31_DOWN,45,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
FACT_FIXED_L31_DOWN,45,activation_diagnostic,accuracy,71,113,113,0.6283185840707964,1.0,QA,"[0.5363738997369067, 0.711825671654132]",0.7840136054421769,42,"[0.7787456445993032, 0.8031358885017421]"
